Filename,Execution Time (s),Number of Variables,Satisfiability
data_kSAT_hberens.cnf,0.007482767105102539,22,S
data_kSAT_hberens.cnf,0.0010199546813964844,22,S
data_kSAT_hberens.cnf,0.002183198928833008,22,S
data_kSAT_hberens.cnf,0.0011401176452636719,22,S
data_kSAT_hberens.cnf,0.003309965133666992,22,S
data_kSAT_hberens.cnf,0.0009889602661132812,22,S
data_kSAT_hberens.cnf,0.002745389938354492,24,S
data_kSAT_hberens.cnf,0.0014185905456542969,24,S
data_kSAT_hberens.cnf,0.0016396045684814453,24,S
data_kSAT_hberens.cnf,0.003918647766113281,24,S
data_kSAT_hberens.cnf,0.0015072822570800781,24,S
data_kSAT_hberens.cnf,0.009862661361694336,24,S
data_kSAT_hberens.cnf,0.01859450340270996,24,S
data_kSAT_hberens.cnf,0.0027780532836914062,24,S
data_kSAT_hberens.cnf,0.002263307571411133,24,S
data_kSAT_hberens.cnf,0.00593876838684082,24,S
data_kSAT_hberens.cnf,1.7642974853515625e-05,4,S
data_kSAT_hberens.cnf,1.7404556274414062e-05,4,S
data_kSAT_hberens.cnf,1.8358230590820312e-05,4,S
data_kSAT_hberens.cnf,1.8358230590820312e-05,4,S
data_kSAT_hberens.cnf,2.2172927856445312e-05,4,S
data_kSAT_hberens.cnf,2.1696090698242188e-05,4,S
data_kSAT_hberens.cnf,1.6927719116210938e-05,4,S
data_kSAT_hberens.cnf,2.4318695068359375e-05,4,S
data_kSAT_hberens.cnf,2.574920654296875e-05,4,S
data_kSAT_hberens.cnf,3.266334533691406e-05,4,S
data_kSAT_hberens.cnf,0.0001068115234375,8,S
data_kSAT_hberens.cnf,9.489059448242188e-05,8,S
data_kSAT_hberens.cnf,0.00011539459228515625,8,S
data_kSAT_hberens.cnf,0.00011086463928222656,8,S
data_kSAT_hberens.cnf,8.344650268554688e-05,8,S
data_kSAT_hberens.cnf,9.417533874511719e-05,8,S
data_kSAT_hberens.cnf,9.417533874511719e-05,8,S
data_kSAT_hberens.cnf,9.1552734375e-05,8,S
data_kSAT_hberens.cnf,9.894371032714844e-05,8,S
data_kSAT_hberens.cnf,0.00010800361633300781,8,S
data_kSAT_hberens.cnf,0.0002231597900390625,12,S
data_kSAT_hberens.cnf,0.00025010108947753906,12,S
data_kSAT_hberens.cnf,0.00026607513427734375,12,S
data_kSAT_hberens.cnf,0.00028777122497558594,12,S
data_kSAT_hberens.cnf,0.0002894401550292969,12,S
data_kSAT_hberens.cnf,0.00032019615173339844,12,S
data_kSAT_hberens.cnf,0.00026988983154296875,12,S
data_kSAT_hberens.cnf,0.0002460479736328125,12,S
data_kSAT_hberens.cnf,0.00020694732666015625,12,S
data_kSAT_hberens.cnf,0.0002429485321044922,12,S
data_kSAT_hberens.cnf,0.0005574226379394531,16,S
data_kSAT_hberens.cnf,0.00046563148498535156,16,S
data_kSAT_hberens.cnf,0.0005881786346435547,16,S
data_kSAT_hberens.cnf,0.0005521774291992188,16,S
data_kSAT_hberens.cnf,0.0005278587341308594,16,S
data_kSAT_hberens.cnf,0.0005221366882324219,16,S
data_kSAT_hberens.cnf,0.0005099773406982422,16,S
data_kSAT_hberens.cnf,0.0005841255187988281,16,S
data_kSAT_hberens.cnf,0.0004506111145019531,16,S
data_kSAT_hberens.cnf,0.0005061626434326172,16,S
data_kSAT_hberens.cnf,0.0006811618804931641,18,S
data_kSAT_hberens.cnf,0.00077056884765625,18,S
data_kSAT_hberens.cnf,0.0008130073547363281,18,S
data_kSAT_hberens.cnf,0.0008671283721923828,18,S
data_kSAT_hberens.cnf,0.0007534027099609375,18,S
data_kSAT_hberens.cnf,0.0007526874542236328,18,S
data_kSAT_hberens.cnf,0.0007581710815429688,18,S
data_kSAT_hberens.cnf,0.0008215904235839844,18,S
data_kSAT_hberens.cnf,0.000858306884765625,18,S
data_kSAT_hberens.cnf,0.0005674362182617188,18,S
data_kSAT_hberens.cnf,0.0008711814880371094,20,S
data_kSAT_hberens.cnf,0.0007779598236083984,20,S
data_kSAT_hberens.cnf,0.0009248256683349609,20,S
data_kSAT_hberens.cnf,0.0009374618530273438,20,S
data_kSAT_hberens.cnf,0.0008370876312255859,20,S
data_kSAT_hberens.cnf,0.0008437633514404297,20,S
data_kSAT_hberens.cnf,0.0008347034454345703,20,S
data_kSAT_hberens.cnf,0.0008528232574462891,20,S
data_kSAT_hberens.cnf,0.0010197162628173828,20,S
data_kSAT_hberens.cnf,0.0008890628814697266,20,S
data_kSAT_hberens.cnf,0.001062631607055664,22,S
data_kSAT_hberens.cnf,0.0009598731994628906,22,S
data_kSAT_hberens.cnf,0.0012142658233642578,22,S
data_kSAT_hberens.cnf,0.0010285377502441406,22,S
data_kSAT_hberens.cnf,0.0010223388671875,22,S
data_kSAT_hberens.cnf,0.0009245872497558594,22,S
data_kSAT_hberens.cnf,0.0008840560913085938,22,S
data_kSAT_hberens.cnf,0.0010628700256347656,22,S
data_kSAT_hberens.cnf,0.0009870529174804688,22,S
data_kSAT_hberens.cnf,0.001135110855102539,22,S
data_kSAT_hberens.cnf,0.0012133121490478516,24,S
data_kSAT_hberens.cnf,0.0014507770538330078,24,S
data_kSAT_hberens.cnf,0.0017971992492675781,24,S
data_kSAT_hberens.cnf,0.0014464855194091797,24,S
data_kSAT_hberens.cnf,0.0013594627380371094,24,S
data_kSAT_hberens.cnf,0.001190185546875,24,S
data_kSAT_hberens.cnf,0.0012645721435546875,24,S
data_kSAT_hberens.cnf,0.001344442367553711,24,S
data_kSAT_hberens.cnf,0.0013165473937988281,24,S
data_kSAT_hberens.cnf,0.0013806819915771484,24,S
